EnsEMBL_Gene_ID	BT474
ENSG00000000003	37.8796664069
ENSG00000001167	167.8156721577
ENSG00000005471	1.2103838975
ENSG00000066629	30.6692898579
ENSG00000154258	0.0654512688
ENSG00000154262	0.0399818164
ENSG00000154263	0.8590222324
ENSG00000154265	8.2548112347
ENSG00000154269	14.4508025677
ENSG00000154274	16.8461939557
ENSG00000154277	7.5888761985
ENSG00000154305	145.0951881992
ENSG00000154309	2.4046804193
ENSG00000154310	11.6266896445
ENSG00000066651	47.6849953571
ENSG00000154316	4.2929564028
ENSG00000154319	4.2744060675
ENSG00000154328	28.8887748965
ENSG00000154330	1.4169400543
ENSG00000154342	2.1494410501
ENSG00000154358	0.2733182643
ENSG00000154359	36.7712511367
ENSG00000154370	77.5358403296
ENSG00000154380	194.4374596830
ENSG00000154415	0.0000000000
ENSG00000066654	143.3019124451
ENSG00000154429	33.5921560936
ENSG00000154438	0.9266715984
ENSG00000154447	71.5390381457
ENSG00000154451	1.3033248481
ENSG00000154473	282.0088987021
ENSG00000154474	2.1404585131
ENSG00000154478	0.0563597816
ENSG00000154479	1.0687119817
ENSG00000154485	0.0000000000
ENSG00000154493	0.0000000000
ENSG00000066697	26.4816870636
ENSG00000154511	8.2853635488
ENSG00000154518	305.2828810548
ENSG00000154529	0.0000000000
ENSG00000154537	0.0000000000
ENSG00000154545	0.0000000000
ENSG00000154548	0.4077410134
ENSG00000154553	121.6750059076
ENSG00000154556	16.7088232680
ENSG00000154582	664.6830605337
ENSG00000154589	0.0000000000
ENSG00000066735	12.0534237585
ENSG00000154608	0.4669100318
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	61.3007733106
ENSG00000154640	64.7550889960
ENSG00000154642	8.6347598530
ENSG00000154645	0.0000000000
ENSG00000154646	0.1117460687
ENSG00000154654	58.5343215842
ENSG00000154655	0.1087294644
ENSG00000066739	44.7877269561
ENSG00000154678	0.0000000000
ENSG00000154710	111.6960436510
ENSG00000154719	131.2774771765
ENSG00000154721	1.1598867243
ENSG00000154723	273.3284918908
ENSG00000154727	41.1991782328
ENSG00000154734	5.7042227848
ENSG00000154736	0.0000000000
ENSG00000154743	32.5148214308
ENSG00000154760	0.1252665704
ENSG00000066777	219.8250157277
ENSG00000154764	0.0000000000
ENSG00000154767	126.5084020502
ENSG00000154768	0.0000000000
ENSG00000154781	54.7226124940
ENSG00000154783	7.3983157195
ENSG00000154803	44.4077756002
ENSG00000154813	58.9654206931
ENSG00000154814	36.4261423825
ENSG00000154822	2.4545486346
ENSG00000154832	97.6117011128
ENSG00000066813	0.0000000000
ENSG00000154839	61.7665465695
ENSG00000154845	295.2012764825
ENSG00000154856	10.2985466192
ENSG00000154864	0.8210017269
ENSG00000154874	0.1684501133
ENSG00000154889	91.3227576419
ENSG00000154898	0.0000000000
ENSG00000154914	21.6787269450
ENSG00000154917	4.6583653951
ENSG00000154920	325.0546655438
ENSG00000066827	12.5962605940
ENSG00000154928	3.7826351093
ENSG00000154930	247.6660302688
ENSG00000154945	459.2829284550
ENSG00000154957	17.2492596705
ENSG00000154975	0.2424102066
ENSG00000154978	297.9443295879
ENSG00000154997	3.8887643885
ENSG00000154999	251.1375414880
ENSG00000155008	44.4434687295
ENSG00000155011	0.0000000000
ENSG00000066855	263.7276534317
ENSG00000155016	12.3116350434
ENSG00000155026	0.0000000000
ENSG00000155034	56.1731919202
ENSG00000155052	0.1969917842
ENSG00000155066	125.3038904720
ENSG00000155070	0.5601881458
ENSG00000155085	5.7681415775
ENSG00000155087	0.0000000000
ENSG00000155090	102.0691746372
ENSG00000155093	128.9654723380
ENSG00000005483	151.4482544445
ENSG00000066923	2.5447392186
