EnsEMBL_Gene_ID	ZR751
ENSG00000000003	31.8129987626
ENSG00000001167	68.4580223909
ENSG00000005471	0.5488649648
ENSG00000066629	25.4937998700
ENSG00000154258	0.0000000000
ENSG00000154262	0.0000000000
ENSG00000154263	0.4767941843
ENSG00000154265	5.8642679219
ENSG00000154269	0.5210944524
ENSG00000154274	106.3506074762
ENSG00000154277	22.9284387704
ENSG00000154305	125.5302397789
ENSG00000154309	16.2037098190
ENSG00000154310	8.8133682199
ENSG00000066651	18.2557066890
ENSG00000154316	3.3371986285
ENSG00000154319	6.1758234095
ENSG00000154328	126.5295160124
ENSG00000154330	16.8592202152
ENSG00000154342	8.7250251069
ENSG00000154358	10.4664021361
ENSG00000154359	48.1584471662
ENSG00000154370	338.4420926196
ENSG00000154380	82.7822571355
ENSG00000154415	0.0000000000
ENSG00000066654	89.6368924865
ENSG00000154429	36.7890863416
ENSG00000154438	0.0000000000
ENSG00000154447	57.5997103461
ENSG00000154451	0.0000000000
ENSG00000154473	385.7420378865
ENSG00000154474	1.2309644495
ENSG00000154478	0.0000000000
ENSG00000154479	2.5408449183
ENSG00000154485	0.1385207738
ENSG00000154493	0.0000000000
ENSG00000066697	24.5388629997
ENSG00000154511	10.8166770271
ENSG00000154518	556.7041025788
ENSG00000154529	1.9982271248
ENSG00000154537	0.7855727541
ENSG00000154545	0.0000000000
ENSG00000154548	0.0000000000
ENSG00000154553	10.0464707833
ENSG00000154556	6.0438017481
ENSG00000154582	571.6944677791
ENSG00000154589	0.0000000000
ENSG00000066735	31.0891023374
ENSG00000154608	0.4440129413
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	24.1816900411
ENSG00000154640	96.9644329230
ENSG00000154642	6.7512689393
ENSG00000154645	0.8296972016
ENSG00000154646	0.0000000000
ENSG00000154654	12.8224079135
ENSG00000154655	0.0000000000
ENSG00000066739	27.2881015904
ENSG00000154678	0.0000000000
ENSG00000154710	58.9925372472
ENSG00000154719	73.4885057080
ENSG00000154721	9.4851478366
ENSG00000154723	196.8229406163
ENSG00000154727	18.7808228379
ENSG00000154734	30.1694223359
ENSG00000154736	0.0000000000
ENSG00000154743	24.1843892252
ENSG00000154760	19.1711963361
ENSG00000066777	153.7050118201
ENSG00000154764	0.0000000000
ENSG00000154767	109.4531205100
ENSG00000154768	1.0697809376
ENSG00000154781	84.9762527143
ENSG00000154783	0.0000000000
ENSG00000154803	37.4585823334
ENSG00000154813	78.2137993979
ENSG00000154814	27.5671249076
ENSG00000154822	0.3921111911
ENSG00000154832	316.5128972592
ENSG00000066813	0.0000000000
ENSG00000154839	91.3550552472
ENSG00000154845	159.3144587692
ENSG00000154856	9.3371203426
ENSG00000154864	0.0000000000
ENSG00000154874	0.3464207745
ENSG00000154889	129.5197778522
ENSG00000154898	0.3723255611
ENSG00000154914	13.2541805204
ENSG00000154917	15.2672725331
ENSG00000154920	102.8567204683
ENSG00000066827	14.3911373296
ENSG00000154928	0.7909880831
ENSG00000154930	21.2690951537
ENSG00000154945	141.6684084363
ENSG00000154957	13.0176486607
ENSG00000154975	0.0000000000
ENSG00000154978	255.8671340949
ENSG00000154997	1.8202834376
ENSG00000154999	97.1720370224
ENSG00000155008	48.5953296382
ENSG00000155011	0.0000000000
ENSG00000066855	137.7784864968
ENSG00000155016	7.2348247629
ENSG00000155026	0.8557915477
ENSG00000155034	142.2695672191
ENSG00000155052	0.0000000000
ENSG00000155066	614.0593898299
ENSG00000155070	0.0000000000
ENSG00000155085	11.2346644787
ENSG00000155087	0.5644545275
