EnsEMBL_Gene_ID	HCC1419
ENSG00000000003	6.8478763792
ENSG00000001167	98.7568950772
ENSG00000005471	2.4027387685
ENSG00000066629	34.8840406960
ENSG00000154258	0.0979476485
ENSG00000154262	0.1160052374
ENSG00000154263	1.1606392058
ENSG00000154265	17.6283330020
ENSG00000154269	16.9912430045
ENSG00000154274	45.6175512481
ENSG00000154277	40.9806765900
ENSG00000154305	493.8682202098
ENSG00000154309	11.2214999051
ENSG00000154310	32.2085225880
ENSG00000066651	25.3953790822
ENSG00000154316	6.6535223819
ENSG00000154319	16.5949170392
ENSG00000154328	39.4640240349
ENSG00000154330	0.4409218902
ENSG00000154342	0.1403069998
ENSG00000154358	0.8059094795
ENSG00000154359	38.8802727416
ENSG00000154370	79.1174016485
ENSG00000154380	178.0913735191
ENSG00000154415	0.0000000000
ENSG00000066654	99.0233363744
ENSG00000154429	23.8216566067
ENSG00000154438	0.0000000000
ENSG00000154447	121.1599486920
ENSG00000154451	0.0826908197
ENSG00000154473	259.9968266924
ENSG00000154474	2.2517121637
ENSG00000154478	0.1357906527
ENSG00000154479	1.6083963603
ENSG00000154485	0.0000000000
ENSG00000154493	0.0000000000
ENSG00000066697	12.1203548844
ENSG00000154511	42.1673429836
ENSG00000154518	363.7847923516
ENSG00000154529	0.2001126789
ENSG00000154537	0.0000000000
ENSG00000154545	0.0000000000
ENSG00000154548	0.7350475760
ENSG00000154553	85.7505422414
ENSG00000154556	0.0574713780
ENSG00000154582	578.0679299804
ENSG00000154589	1.7385489164
ENSG00000066735	4.7241420739
ENSG00000154608	0.0000000000
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	135.0626626915
ENSG00000154640	83.6708322480
ENSG00000154642	12.0534599411
ENSG00000154645	0.0000000000
ENSG00000154646	0.0000000000
ENSG00000154654	29.6175976421
ENSG00000154655	0.2615713407
ENSG00000066739	28.5146347388
ENSG00000154678	0.0462837614
ENSG00000154710	100.3082097755
ENSG00000154719	227.0827896672
ENSG00000154721	9.7336463655
ENSG00000154723	320.1219064556
ENSG00000154727	30.9563695730
ENSG00000154734	3.9218947070
ENSG00000154736	0.0000000000
ENSG00000154743	25.8664363164
ENSG00000154760	0.4354202262
ENSG00000066777	168.4156055192
ENSG00000154764	0.0000000000
ENSG00000154767	74.6194857492
ENSG00000154768	0.0000000000
ENSG00000154781	54.9715803168
ENSG00000154783	1.3532240906
ENSG00000154803	122.4605834094
ENSG00000154813	91.9493147279
ENSG00000154814	36.2898799237
ENSG00000154822	0.0000000000
ENSG00000154832	74.6941191638
ENSG00000066813	0.0724260781
ENSG00000154839	24.7899136598
ENSG00000154845	222.5510637241
ENSG00000154856	24.9552311169
ENSG00000154864	0.0000000000
ENSG00000154874	0.4918288789
ENSG00000154889	48.3097166850
