EnsEMBL_Gene_ID	ZR7530
ENSG00000000003	121.4599177489
ENSG00000001167	73.9109636049
ENSG00000005471	0.6110360130
ENSG00000066629	25.9173233124
ENSG00000154258	0.0335714796
ENSG00000154262	0.0000000000
ENSG00000154263	0.5261617545
ENSG00000154265	10.1807959065
ENSG00000154269	4.6484098938
ENSG00000154274	94.8540687272
ENSG00000154277	5.0526558585
ENSG00000154305	1391.0216925418
ENSG00000154309	37.8799660066
ENSG00000154310	1.7033233116
ENSG00000066651	28.5878702903
ENSG00000154316	1.1821122372
ENSG00000154319	0.6245196199
ENSG00000154328	16.3727795388
ENSG00000154330	8.1718036971
ENSG00000154342	5.4472072981
ENSG00000154358	2.3108675126
ENSG00000154359	22.2951999350
ENSG00000154370	87.2696754528
ENSG00000154380	315.0948502667
ENSG00000154415	0.0000000000
ENSG00000066654	85.7245517906
ENSG00000154429	25.9843190281
ENSG00000154438	0.0000000000
ENSG00000154447	101.9294523189
ENSG00000154451	0.0921760279
ENSG00000154473	465.4281235662
ENSG00000154474	0.0894126766
ENSG00000154478	0.0582496894
ENSG00000154479	1.9515647487
ENSG00000154485	0.2335254599
ENSG00000154493	0.0000000000
ENSG00000066697	28.9734892766
ENSG00000154511	11.9970432421
ENSG00000154518	282.0201996926
ENSG00000154529	0.0000000000
ENSG00000154537	0.0000000000
ENSG00000154545	0.0000000000
ENSG00000154548	1.1705967545
ENSG00000154553	2.3571606306
ENSG00000154556	98.3809561147
ENSG00000154582	390.5858135868
ENSG00000154589	11.7251237705
ENSG00000066735	11.6666772948
ENSG00000154608	0.4922829981
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	17.7610589004
ENSG00000154640	29.2794228002
ENSG00000154642	2.1322864730
ENSG00000154645	0.1492814040
ENSG00000154646	0.0000000000
ENSG00000154654	0.2725889373
ENSG00000154655	0.1731111853
ENSG00000066739	74.4623902922
ENSG00000154678	0.0000000000
ENSG00000154710	80.9613652108
ENSG00000154719	24.5360642286
ENSG00000154721	0.6568099856
ENSG00000154723	87.3922121642
ENSG00000154727	11.3874585287
ENSG00000154734	0.1862196003
ENSG00000154736	0.0000000000
ENSG00000154743	31.5482909068
ENSG00000154760	1.5330375142
ENSG00000066777	318.7135325811
ENSG00000154764	0.1252557396
ENSG00000154767	119.3325230892
ENSG00000154768	0.0000000000
ENSG00000154781	52.5460401791
ENSG00000154783	16.5804062411
ENSG00000154803	13.2221330237
ENSG00000154813	96.7590757783
ENSG00000154814	27.1569290710
ENSG00000154822	0.0000000000
ENSG00000154832	38.0641669885
ENSG00000066813	0.1551498839
ENSG00000154839	14.9153452725
ENSG00000154845	118.8776651342
ENSG00000154856	10.0629065458
ENSG00000154864	0.0000000000
ENSG00000154874	3.0973481414
ENSG00000154889	54.3251092069
ENSG00000154898	0.2016394174
ENSG00000154914	20.9675010883
ENSG00000154917	4.9664479442
ENSG00000154920	17.9936253264
ENSG00000066827	24.1354424611
ENSG00000154928	0.0000000000
