EnsEMBL_Gene_ID	BT549
ENSG00000000003	129.3847590419
ENSG00000001167	291.4592180550
ENSG00000005471	0.0000000000
ENSG00000066629	30.9380710035
ENSG00000154258	0.0000000000
ENSG00000154262	0.0000000000
ENSG00000154263	0.4161780754
ENSG00000154265	3.6246031786
ENSG00000154269	0.1193415797
ENSG00000154274	0.3551337123
ENSG00000154277	692.1192337957
ENSG00000154305	41.2621020106
ENSG00000154309	8.3797887455
ENSG00000154310	12.8586036281
ENSG00000066651	99.2477336835
ENSG00000154316	0.0000000000
ENSG00000154319	0.0000000000
ENSG00000154328	122.7859986456
ENSG00000154330	0.0000000000
ENSG00000154342	0.0000000000
ENSG00000154358	2.5615572445
ENSG00000154359	26.1183159429
ENSG00000154370	61.2591607598
ENSG00000154380	147.0920209177
ENSG00000154415	0.0000000000
ENSG00000066654	57.7437188944
ENSG00000154429	25.9036214744
ENSG00000154438	0.0000000000
ENSG00000154447	86.9949455006
ENSG00000154451	0.1554101330
ENSG00000154473	471.9894359028
ENSG00000154474	0.0000000000
ENSG00000154478	0.0000000000
ENSG00000154479	0.7809197972
ENSG00000154485	0.0000000000
ENSG00000154493	0.3248356783
ENSG00000066697	174.8263974369
ENSG00000154511	36.5596254473
ENSG00000154518	492.5499875736
ENSG00000154529	0.3110593736
ENSG00000154537	0.0000000000
ENSG00000154545	0.0000000000
ENSG00000154548	3.5360535555
ENSG00000154553	52.6707077033
ENSG00000154556	3.3920776630
ENSG00000154582	1208.8977486299
ENSG00000154589	0.0000000000
ENSG00000066735	0.0000000000
ENSG00000154608	0.6224972584
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	15.6765477109
ENSG00000154640	233.2126570640
ENSG00000154642	34.2260698353
ENSG00000154645	0.6292265835
ENSG00000154646	0.4080253032
ENSG00000154654	19.1334132577
ENSG00000154655	0.0000000000
ENSG00000066739	11.9102498653
ENSG00000154678	197.7475383849
ENSG00000154710	85.8169336405
ENSG00000154719	389.1276158484
ENSG00000154721	15.0942701346
ENSG00000154723	643.2021764094
ENSG00000154727	55.4722957977
ENSG00000154734	556.2520643771
ENSG00000154736	64.0467016180
ENSG00000154743	99.1145798619
ENSG00000154760	1.0097315280
ENSG00000066777	62.9392217623
ENSG00000154764	0.0000000000
ENSG00000154767	139.2758114495
ENSG00000154768	0.0000000000
ENSG00000154781	49.9432495921
ENSG00000154783	0.0670950699
ENSG00000154803	71.3616193969
ENSG00000154813	168.2592487971
ENSG00000154814	34.3579232296
ENSG00000154822	0.0888187659
ENSG00000154832	180.6929653387
ENSG00000066813	0.0000000000
ENSG00000154839	67.5027243327
ENSG00000154845	236.1205203046
ENSG00000154856	33.7667451370
ENSG00000154864	0.0000000000
ENSG00000154874	1.0915547768
ENSG00000154889	28.6681696070
