EnsEMBL_Gene_ID	21MT2
ENSG00000000003	65.6863762916
ENSG00000001167	216.4870719094
ENSG00000005471	0.0999382777
ENSG00000066629	6.7734377746
ENSG00000154258	0.0318771380
ENSG00000154262	0.0758406228
ENSG00000154263	0.2513283212
ENSG00000154265	2.8103624775
ENSG00000154269	0.0000000000
ENSG00000154274	1.2561602495
ENSG00000154277	1204.1765887723
ENSG00000154305	44.0211144460
ENSG00000154309	8.1269798206
ENSG00000154310	0.7646136209
ENSG00000066651	98.1219655078
ENSG00000154316	0.0000000000
ENSG00000154319	2.1552905219
ENSG00000154328	33.7542109595
ENSG00000154330	1.2914853318
ENSG00000154342	0.1369890649
ENSG00000154358	38.6453561109
ENSG00000154359	3.6400568961
ENSG00000154370	192.0713886226
ENSG00000154380	53.4948868075
ENSG00000154415	0.0000000000
ENSG00000066654	78.9093225545
ENSG00000154429	16.3642439234
ENSG00000154438	0.0000000000
ENSG00000154447	65.7707860654
ENSG00000154451	1.1608437520
ENSG00000154473	695.7379475922
ENSG00000154474	0.0000000000
ENSG00000154478	0.0000000000
ENSG00000154479	0.2730194281
ENSG00000154485	0.0000000000
ENSG00000154493	4.4566889333
ENSG00000066697	69.8724456893
ENSG00000154511	11.6111353993
ENSG00000154518	506.3350989796
ENSG00000154529	0.0000000000
ENSG00000154537	1.1443075162
ENSG00000154545	0.0000000000
ENSG00000154548	0.4382910696
ENSG00000154553	54.5417388769
ENSG00000154556	2.3498829642
ENSG00000154582	202.6691329427
ENSG00000154589	0.0000000000
ENSG00000066735	1.4402609172
ENSG00000154608	0.3853521797
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	24.8786085876
ENSG00000154640	52.9488073566
ENSG00000154642	10.6646848322
ENSG00000154645	0.1342868399
ENSG00000154646	0.0000000000
ENSG00000154654	0.0000000000
ENSG00000154655	0.0000000000
ENSG00000066739	16.6066352427
ENSG00000154678	0.0464213585
ENSG00000154710	59.1923310380
ENSG00000154719	121.5909798434
ENSG00000154721	0.4671289414
ENSG00000154723	304.0379751466
ENSG00000154727	19.7178287046
ENSG00000154734	15.9185754339
ENSG00000154736	0.0000000000
ENSG00000154743	46.6471103403
ENSG00000154760	32.7503267614
ENSG00000066777	61.3999046688
ENSG00000154764	48.4108251346
ENSG00000154767	101.3977551754
ENSG00000154768	0.0000000000
ENSG00000154781	60.0203813922
ENSG00000154783	0.0000000000
ENSG00000154803	42.6577962403
ENSG00000154813	233.4243859866
ENSG00000154814	86.9996278598
ENSG00000154822	0.5724255651
ENSG00000154832	274.4541336559
ENSG00000066813	0.0000000000
ENSG00000154839	21.5818203946
ENSG00000154845	171.9259430056
ENSG00000154856	0.0000000000
ENSG00000154864	0.0000000000
ENSG00000154874	3.0152620538
ENSG00000154889	19.2591331225
ENSG00000154898	1.5976594507
ENSG00000154914	40.4866428866
ENSG00000154917	3.4252060351
ENSG00000154920	119.6687789842
ENSG00000066827	25.0360773259
ENSG00000154928	0.6188834475
ENSG00000154930	1.3362325110
ENSG00000154945	120.7084610118
ENSG00000154957	5.5076261019
ENSG00000154975	0.0000000000
ENSG00000154978	392.9847710933
ENSG00000154997	1.3693143508
ENSG00000154999	76.9881627850
ENSG00000155008	21.7978540337
ENSG00000155011	0.0000000000
ENSG00000066855	113.1789209045
ENSG00000155016	1.1821901177
ENSG00000155026	0.1246591987
ENSG00000155034	135.4729541949
ENSG00000155052	0.0000000000
ENSG00000155066	433.1996692022
ENSG00000155070	0.8022342307
ENSG00000155085	1.4624974342
ENSG00000155087	0.0000000000
ENSG00000155090	215.6053694183
ENSG00000155093	0.2794794799
ENSG00000005483	87.0939528780
ENSG00000066923	2.1918941209
ENSG00000155096	237.2085923089
ENSG00000155097	62.6944702582
ENSG00000155099	13.8160625125
ENSG00000155100	18.3046698752
ENSG00000155111	20.3105486437
ENSG00000155115	258.2157969046
ENSG00000155130	3.4773252148
ENSG00000155158	1.1941649062
ENSG00000155189	55.0802995926
ENSG00000155229	329.5860350527
ENSG00000066926	74.0054404418
ENSG00000155249	0.0000000000
ENSG00000155252	2.9000207182
ENSG00000155254	319.5331120863
ENSG00000155256	108.6038814713
ENSG00000155265	5.6814037826
ENSG00000155269	0.2071438567
ENSG00000155275	31.5067345881
ENSG00000155282	0.0000000000
ENSG00000155287	135.4597941788
ENSG00000155304	39.7480988995
ENSG00000066933	22.2006344185
ENSG00000155307	34.5509036118
ENSG00000155313	39.6658269854
ENSG00000155319	0.0000000000
ENSG00000155324	26.5900306630
ENSG00000155329	9.9865052402
ENSG00000155330	12.3168197298
ENSG00000155352	39.1172955362
ENSG00000155363	127.5411033660
ENSG00000155366	929.4207789259
ENSG00000155367	22.1026935738
ENSG00000067048	0.0000000000
ENSG00000155368	887.9101494901
ENSG00000155372	0.0000000000
ENSG00000155380	184.8055173500
ENSG00000155393	32.8154189571
ENSG00000155428	0.5460937297
ENSG00000155438	126.6129152132
ENSG00000155463	725.7070129216
ENSG00000155465	8.0593526234
ENSG00000155495	0.0000000000
ENSG00000155506	659.2472042709
ENSG00000067057	2433.6525923075
ENSG00000155508	69.2788024659
ENSG00000155511	0.0000000000
ENSG00000155530	0.2221863761
ENSG00000155542	6.5827174644
ENSG00000155545	6.2940545785
ENSG00000155561	96.0402656952
ENSG00000155592	13.2178866228
ENSG00000155621	15.7653460854
ENSG00000155622	0.0000000000
ENSG00000155629	0.0000000000
ENSG00000067064	252.1955368155
ENSG00000155636	22.5784009544
ENSG00000155640	19.5624433873
ENSG00000155657	0.5505439312
ENSG00000155659	0.0000000000
ENSG00000155660	548.9250158852
ENSG00000155666	22.1523678658
ENSG00000155714	0.4540150017
ENSG00000155719	2.0208802077
ENSG00000155729	27.1314728264
ENSG00000155744	15.1911343179
ENSG00000067066	28.0710220702
ENSG00000155749	0.3708697490
ENSG00000155754	0.0000000000
ENSG00000155755	11.2169301747
ENSG00000155760	139.7079579065
ENSG00000155761	0.0000000000
