EnsEMBL_Gene_ID	UACC812
ENSG00000000003	26.5792803593
ENSG00000001167	138.1403109667
ENSG00000005471	0.4406489962
ENSG00000066629	79.1878792247
ENSG00000154258	0.0409072283
ENSG00000154262	0.3830596402
ENSG00000154263	0.2598980559
ENSG00000154265	2.0767226547
ENSG00000154269	0.9700526343
ENSG00000154274	82.8204433502
ENSG00000154277	18.6086918205
ENSG00000154305	38.2874036082
ENSG00000154309	15.9384790687
ENSG00000154310	0.6455189536
ENSG00000066651	12.3886276158
ENSG00000154316	5.9357849796
ENSG00000154319	10.4927536368
ENSG00000154328	77.3789068792
ENSG00000154330	24.5421869177
ENSG00000154342	0.5183700096
ENSG00000154358	8.0361923053
ENSG00000154359	5.4160899895
ENSG00000154370	103.2755936136
ENSG00000154380	50.4353606203
ENSG00000154415	0.0000000000
ENSG00000066654	20.9599261159
ENSG00000154429	5.4257577719
ENSG00000154438	0.0000000000
ENSG00000154447	22.6560869531
ENSG00000154451	0.0000000000
ENSG00000154473	867.7914400415
ENSG00000154474	0.3124361080
ENSG00000154478	0.0000000000
ENSG00000154479	0.1157710686
ENSG00000154485	0.0000000000
ENSG00000154493	0.0000000000
ENSG00000066697	8.4139224221
ENSG00000154511	5.0858183422
ENSG00000154518	511.3563218143
ENSG00000154529	0.0000000000
ENSG00000154537	0.1835580759
ENSG00000154545	0.0000000000
ENSG00000154548	0.4427108828
ENSG00000154553	0.0000000000
ENSG00000154556	0.1241671142
ENSG00000154582	311.8871569528
ENSG00000154589	0.0000000000
ENSG00000066735	100.7251020072
ENSG00000154608	0.0000000000
ENSG00000154611	1.3005284949
ENSG00000154620	0.4660317152
ENSG00000154639	16.0151957322
ENSG00000154640	36.0325936963
ENSG00000154642	5.0381825777
ENSG00000154645	0.0000000000
ENSG00000154646	0.0000000000
ENSG00000154654	4.9467892884
ENSG00000154655	0.0337500705
ENSG00000066739	17.9957201921
ENSG00000154678	0.0000000000
ENSG00000154710	107.6984101953
